epoch,train_loss,train_energy,train_residual,train_residual_raw,val_loss,val_energy,val_residual,val_residual_raw,lr,residual_ramp,effective_residual_weight
1,7.553341277081804e-05,7.455544255208224e-05,0.048898528156391646,4.663326885735965e-12,8.063233690336347e-05,7.236032979562879e-05,0.016544004902243614,1.5777595159180424e-12,0.00019999451693655123,0.04,2e-05
2,7.256290244463421e-05,7.182414178791756e-05,0.018469020250742717,1.7613429923975667e-12,7.934347377158701e-05,7.198419189080596e-05,0.014718578197062016,1.403672642528997e-12,0.00019997806834748456,0.08,4e-05
3,7.239057928110647e-05,7.143199541980905e-05,0.015976404960630304,1.5236286707419144e-12,7.801531319273636e-05,7.171528704930097e-05,0.01260004285722971,1.2016335192502337e-12,0.00019995065603657316,0.12,6e-05
4,7.199127645373849e-05,7.079278651163204e-05,0.014981123997624649,1.428711278249163e-12,7.71604900364764e-05,7.147705036913976e-05,0.011366899125277996,1.0840316274837725e-12,0.00019991228300988585,0.16,8e-05
5,7.220099914929498e-05,7.091654154819326e-05,0.01284457812622442,1.2249543992584223e-12,7.622667908435687e-05,7.127232674974948e-05,0.00990868080407381,9.449655684681812e-13,0.0001998629534754574,0.2,0.0001
6,7.212250673515975e-05,7.077142331350627e-05,0.0112590274884034,1.0737445031872416e-12,7.562270184280351e-05,7.113836181815714e-05,0.008968678303062916,8.553198297192588e-13,0.00019980267284282717,0.24,0.00012
7,7.190633507473079e-05,7.053906375727758e-05,0.009766224519175998,9.313797370102938e-13,7.514625031035393e-05,7.110314618330449e-05,0.008086209185421467,7.711609671147424e-13,0.00019973144772244582,0.28,0.00014000000000000001
8,7.154119237507614e-05,7.011345994631144e-05,0.008923328323763306,8.509948788014668e-13,7.465823728125542e-05,7.095102773746476e-05,0.007414437364786863,7.07095731793117e-13,0.00019964928592495045,0.32,0.00016
9,7.19233585957643e-05,7.053991812735132e-05,0.007685779680703151,7.329730580761093e-13,7.404696953017265e-05,7.092193845892325e-05,0.006250078324228525,5.960539136914966e-13,0.000199556196460308,0.36,0.00017999999999999998
10,7.13313864376317e-05,6.986492741616221e-05,0.007332296236970667,6.992622470568302e-13,7.393958367174491e-05,7.075296889524907e-05,0.006373201962560415,6.077959316397319e-13,0.00019945218953682734,0.4,0.0002
11,7.157461158832598e-05,7.016336327316082e-05,0.0064147670350779415,6.117598400182323e-13,7.348503277171403e-05,7.07134313415736e-05,0.005543177947402,5.286386020771083e-13,0.00019933727656003966,0.44,0.00022
12,7.133284902843347e-05,6.981103464475659e-05,0.006340892957839168,6.04714664439921e-13,7.3884533776436e-05,7.10391323082149e-05,0.0056907967664301395,5.427167504463981e-13,0.00019921147013144782,0.48,0.00024
13,7.125899966182661e-05,6.96612843381383e-05,0.006145058570713815,5.860384406136552e-13,7.325270416913554e-05,7.07227663951926e-05,0.005059912335127592,4.825509024482255e-13,0.0001990747840471444,0.52,0.00026000000000000003
14,7.171818127725431e-05,6.997745429359029e-05,0.006216881761201105,5.928880268091617e-13,7.343050674535334e-05,7.07399522070773e-05,0.00538114458322525,5.131860648238673e-13,0.00019892723329629887,0.56,0.00028000000000000003
15,7.129116605383234e-05,6.974581851016225e-05,0.005151158561772209,4.912527513501026e-13,7.335186091950163e-05,7.074623863445595e-05,0.005211225710809231,4.9698114547303e-13,0.0001987688340595138,0.6,0.0003
16,7.185826639909202e-05,7.033716419601213e-05,0.004753444272772235,4.5332376586952864e-13,7.257805555127561e-05,7.051508146105334e-05,0.004125971347093582,3.9348326029767233e-13,0.0001985996037070505,0.64,0.00032
17,7.155974224403153e-05,6.989039339113317e-05,0.004909849555973532,4.682397268735296e-13,7.263270526891574e-05,7.055290188873187e-05,0.004159589298069477,3.966893545419292e-13,0.00019841956079692417,0.68,0.00034
18,7.173420268927811e-05,7.018947890482179e-05,0.0042908985317700495,4.092119642878881e-13,7.241548883030191e-05,7.054028537822887e-05,0.003750439966097474,3.576697857159139e-13,0.00019822872507286888,0.72,0.00035999999999999997
19,7.12844110054548e-05,6.961763315534187e-05,0.004386257617024041,4.1830611130223635e-13,7.245687447721139e-05,7.044361700536683e-05,0.004026498645544052,3.8399684365413023e-13,0.00019802711746217218,0.76,0.00038
20,7.118307430419471e-05,6.937005278906959e-05,0.004532553946157381,4.3225801811077123e-13,7.207340240711346e-05,7.043209916446358e-05,0.0032826110254973173,3.130541886917776e-13,0.00019781476007338055,0.8,0.0004
21,7.124773191655117e-05,6.955329013566124e-05,0.004034385862523469,3.847490114380344e-13,7.21727847121656e-05,7.04610938555561e-05,0.0034233680926263332,3.2647780420953787e-13,0.0001975916761938747,0.84,0.00042
22,7.152094844120981e-05,6.988083944217918e-05,0.003727520228032086,3.554840244886214e-13,7.206158625194803e-05,7.041434582788497e-05,0.003294475842267275,3.1418566207898346e-13,0.000197357890287316,0.88,0.00044
23,7.144328326645891e-05,6.981641873006977e-05,0.00353666256829086,3.372824129198074e-13,7.206037844298407e-05,7.045548409223557e-05,0.003209782065823674,3.061087353647268e-13,0.0001971134279909636,0.92,0.00046
24,7.188226312391018e-05,7.033719527298363e-05,0.003218891282597462,3.069773857413143e-13,7.184732385212556e-05,7.041209028102458e-05,0.002870453055948019,2.737477128658683e-13,0.00019685831611286308,0.96,0.00048
25,7.157713523572626e-05,6.999156348529604e-05,0.003171143552162132,3.0242380943299566e-13,7.210492913145572e-05,7.045311940601096e-05,0.0033036416862159967,3.150597729754956e-13,0.00019659258262890678,1.0,0.0005
26,7.235602822482301e-05,7.016877313262893e-05,0.0043745097364851476,4.171857431773676e-13,7.197778904810548e-05,7.050075510051101e-05,0.0029540746472775936,2.817225077354768e-13,0.00019631625667976578,1.0,0.0005
27,7.138724384091447e-05,6.966737394469743e-05,0.0034397400134258856,3.2803915962346493e-13,7.204327266663313e-05,7.052331056911498e-05,0.003039910225197673,2.8990842387312254e-13,0.00019602936856769426,1.0,0.0005
28,7.119611725980668e-05,6.967190168679582e-05,0.0030484311105052043,2.9072103937370054e-13,7.168224692577496e-05,7.031943823676556e-05,0.0027256093453615904,2.599343537721538e-13,0.00019573194975320668,1.0,0.0005
29,7.139408102128812e-05,6.979379543474228e-05,0.0032005700286698796,3.052301369737991e-13,7.182553235907108e-05,7.040484342724085e-05,0.0028413734398782253,2.7097445923392194e-13,0.00019542403285162765,1.0,0.0005
30,7.118585655639358e-05,6.96182295372236e-05,0.003135254857193489,2.990011970287434e-13,7.170876779127866e-05,7.030309643596411e-05,0.002811338286846876,2.681101055144325e-13,0.00019510565162951534,1.0,0.0005
31,7.153009530650137e-05,6.988478399777658e-05,0.0032906210981309414,3.1381807711463323e-13,7.162068504840136e-05,7.039155025267974e-05,0.0024582890328019857,2.3444072204392707e-13,0.00019477684100095856,1.0,0.0005
32,7.079180931352805e-05,6.927677649231154e-05,0.0030300644348706988,2.889694560945339e-13,7.181791443144903e-05,7.044105586828664e-05,0.002753756707534194,2.626186486158477e-13,0.0001944376370237481,1.0,0.0005
33,7.098531981898567e-05,6.949811062964973e-05,0.0029744173881550463,2.8366254097208323e-13,7.169014861574396e-05,7.033489237073809e-05,0.0027104991022497416,2.5849339487481193e-13,0.0001940880768954225,1.0,0.0005
34,7.063079200156223e-05,6.922092303531087e-05,0.0028197377332154724,2.6891114095481526e-13,7.145786366891116e-05,7.021461351541802e-05,0.002486479701474309,2.3712916396093076e-13,0.0001937281989491891,1.0,0.0005
35,7.108212692832764e-05,6.965265172273236e-05,0.00285894990803958,2.726507021769972e-13,7.173897029133514e-05,7.024069054750726e-05,0.002996564144268632,2.8577460493492413e-13,0.0001933580426497201,1.0,0.0005
36,7.052495703199816e-05,6.911081054259755e-05,0.002828292159947677,2.697269541626905e-13,7.151231693569571e-05,7.025468948995695e-05,0.0025152526795864105,2.3987319834432863e-13,0.00019297764858882508,1.0,0.0005
37,7.102340847052539e-05,6.972396178013188e-05,0.0025988936076982547,2.478498021317567e-13,7.151706813601777e-05,7.024194928817451e-05,0.002550241071730852,2.432098847402614e-13,0.00019258705848099945,1.0,0.0005
