case_id,grid,degrees_of_freedom,u_difference_pct,exx_difference_pct,sxx_difference_pct,fem_time_s,reference_grid
1,20x20x5,7938,0.013018778041389175,0.03590982815589296,0.35795343600908536,0.24730682373046875,80x80x20
1,40x40x10,55473,0.002636322606054819,0.005421369495166831,0.2614160611183365,12.649945497512817,80x80x20
1,80x80x20,413343,0.0,0.0,0.0,76.70812940597534,80x80x20
13,20x20x5,7938,0.049775596047795946,0.06687727762752077,0.6506537745423148,0.2725412845611572,80x80x20
13,40x40x10,55473,0.010836525992569302,0.012051155679112382,0.3515707567200483,14.070259809494019,80x80x20
13,80x80x20,413343,0.0,0.0,0.0,81.80820107460022,80x80x20
25,20x20x5,7938,0.011960682015940307,0.043093586520986285,0.38076882900457165,0.2737252712249756,80x80x20
25,40x40x10,55473,0.00245636075202123,0.006566571763653621,0.32352895958306804,12.575779438018799,80x80x20
25,80x80x20,413343,0.0,0.0,0.0,75.40157699584961,80x80x20
39,20x20x5,7938,0.013962156745082796,0.12954107881176746,0.461544054417778,0.25385141372680664,80x80x20
39,40x40x10,55473,0.002852875526323833,0.02086399965556875,0.27995835504627736,14.379349708557129,80x80x20
39,80x80x20,413343,0.0,0.0,0.0,79.00880789756775,80x80x20
50,20x20x5,7938,0.022319747910420292,0.041613999355626936,0.4453571858899236,0.23639893531799316,80x80x20
50,40x40x10,55473,0.0046319792099498835,0.006571027211472295,0.2937237255048464,15.062006950378418,80x80x20
50,80x80x20,413343,0.0,0.0,0.0,78.32088208198547,80x80x20
